current_token,next_token,entropy,prompt_id,token_position
 a, stable,3.9826056957244873,82,254
 (,which,3.9342119693756104,19,206
 involve, recursion,3.8799428939819336,50,134
 the, next,3.828782081604004,82,247
 than, squ,3.743746519088745,5,156
 or, use,3.6071040630340576,52,87
 different, numbers,3.5325872898101807,82,158
 or, points,3.515634775161743,59,174
 or, dice,3.5125396251678467,26,62
 one, electron,3.478278398513794,82,243
 or, not,3.4614553451538086,78,100
 a, linear,3.4187984466552734,55,125
 a, more,3.40720534324646,48,77
",", isn,3.397024154663086,1,155
 be, similar,3.376774311065674,1,171
 to, series,3.3735511302948,55,131
 or, maybe,3.3692922592163086,94,124
 even, worse,3.3400676250457764,20,101
 **,Bay,3.2278521060943604,93,147
 to, explain,3.1781558990478516,23,188
 Maybe, finding,3.127534866333008,23,199
 even, try,3.109762668609619,94,126
 maybe, even,3.1096370220184326,94,125
",", plants,3.103140115737915,20,216
 with, multiple,3.1028146743774414,23,143
 their, outer,3.0997118949890137,82,216
",", recall,3.07831072807312,5,245
",", if,3.0741467475891113,85,122
 about, probabilities,3.038332462310791,93,11
",", no,3.030447483062744,26,156
 like, something,3.0249598026275635,16,143
",", both,3.019418954849243,68,144
",", when,3.0181448459625244,82,205
",", actually,2.992110013961792,73,235
",", hold,2.9913289546966553,30,160
 or, maybe,2.9825692176818848,20,99
 its, size,2.980537176132202,20,207
 to, work,2.962801933288574,85,170
".

",If,2.9613592624664307,100,199
 But, wait,2.9608585834503174,34,126
 them, all,2.9603054523468018,5,159
 calculations, with,2.9598588943481445,37,232
're, looking,2.947962999343872,4,199
",", the,2.935393810272217,37,204
.," 

",2.9325196743011475,74,185
4, e,2.92834734916687,82,128
",", if,2.926492214202881,89,143
 is, proportional,2.9262938499450684,82,168
 is, growing,2.923992395401001,16,145
 involving, distributing,2.920862913131714,53,169
 both, conditions,2.920560359954834,53,252
 Because, raising,2.9158084392547607,38,133
 In, fact,2.913102626800537,6,126
but, then,2.9114065170288086,20,80
 that, any,2.9087953567504883,46,146
 they, break,2.907005548477173,50,137
 but, hold,2.9041569232940674,66,208
 about, rates,2.9006783962249756,16,138
 in, reality,2.890329122543335,82,139
 especially, those,2.8896467685699463,24,90
 a, more,2.884617328643799,53,243
 have, different,2.8805856704711914,82,157
., Hmm,2.8790152072906494,82,110
",", for,2.878079652786255,2,140
 operator, captures,2.8738317489624023,48,112
 volumes, don,2.8632378578186035,78,90
 (,Prior,2.8598289489746094,93,110
 the, variation,2.854844093322754,65,239
., The,2.8535780906677246,47,50
".

",For,2.8510992527008057,100,247
 these, re,2.8476414680480957,2,83
 or, permutations,2.839393377304077,26,75
 contributes, one,2.839355707168579,82,242
",", from,2.829019784927368,6,246
",", since,2.8273141384124756,59,148
",", if,2.8239336013793945,45,114
 we,'re,2.8213870525360107,2,188
're, limited,2.8196909427642822,100,230
 is, �,2.818706512451172,86,81
 require, two,2.817007303237915,100,112
 I, expand,2.816619396209717,64,167
 it, produces,2.808647871017456,6,139
",", sometimes,2.8083436489105225,85,186
 or, one,2.8057894706726074,97,171
",", since,2.803227186203003,5,138
 then, I,2.7903013229370117,50,186
-, These,2.7900443077087402,27,193
., That,2.7842822074890137,20,209
 what, kind,2.7831614017486572,23,190
",", maybe,2.779139280319214,30,190
's, been,2.7755486965179443,1,113
 this, could,2.7752976417541504,23,194
 sometimes, converting,2.772627115249634,85,187
 involve, multiple,2.7713379859924316,97,61
 can, figure,2.769934892654419,39,211
 outer,most,2.7695982456207275,82,217
 that, some,2.766803026199341,96,186
",", actually,2.7667667865753174,5,136
 Since, we,2.7542455196380615,68,136
",", let,2.753225088119507,16,114
