current_token,next_token,entropy,prompt_id,token_position
Finally,",",1.2237244995105812e-08,51,151
Finally,",",1.5111567108760937e-08,49,141
Finally,",",2.1178594877824253e-08,21,155
Finally,",",4.1478116941107146e-08,87,152
Next,",",5.2119798255034766e-08,95,32
Finally,",",5.230381461274192e-08,76,67
Finally,",",5.641976486003841e-08,100,155
Therefore,",",6.504340177571066e-08,81,174
Therefore,",",6.50995701789725e-08,18,113
Next,",",6.756444292932429e-08,70,73
Next,",",8.420884967108577e-08,71,60
 diagon,als,9.040925164072178e-08,13,14
0,0,9.334301154240165e-08,95,79
Next,",",9.756671204286249e-08,49,80
Next,",",9.935753553236282e-08,36,28
Therefore,",",1.078134985732504e-07,85,118
Finally,",",1.1610082850666004e-07,60,232
Next,",",1.2847337416133087e-07,63,37
Therefore,",",1.346342202168671e-07,58,122
Thus,",",1.3520842401248956e-07,79,102
Next,",",1.718523918725623e-07,21,31
Next,",",1.9819044894120452e-07,87,53
Next,",",2.0613160245375184e-07,76,23
Next,",",2.396204763499554e-07,100,58
 diagon,als,2.603194673156395e-07,13,99
., **,2.6697270527620276e-07,45,135
Therefore,",",2.739935780482483e-07,74,184
 calls, for,2.9113553523529845e-07,95,20
0,0,3.04896531133636e-07,51,51
 need, to,3.13062741952308e-07,36,7
 need, to,3.21396157687559e-07,95,7
0,0,3.242800801217527e-07,51,179
 ,0,3.5068390502601687e-07,97,30
 case,",",3.6320133744993655e-07,56,66
 is, the,3.971820774495427e-07,26,25
9,0,4.1111385939984757e-07,68,83
 ,1,4.162423863363074e-07,56,20
9,0,4.3212745026721677e-07,5,193
0,0,4.336237111601804e-07,95,240
Next,",",4.4222431938578666e-07,60,29
 words,",",4.4726178316523146e-07,98,92
 need, to,5.219236527409521e-07,75,13
Step, ,5.315673092809448e-07,19,235
0,0,5.557795361710305e-07,51,147
 need, to,5.646303407047526e-07,74,7
., **,5.700022143173555e-07,71,202
1,9,6.275579380599083e-07,63,192
 into, the,6.292276566455257e-07,80,100
 number, of,6.629560971305182e-07,36,53
0,0,6.715346785313159e-07,60,174
 need, to,6.856125764898024e-07,72,7
Next,",",6.876349516460323e-07,72,58
6,0,7.156528454288491e-07,8,112
2,.,7.379979365396139e-07,9,50
Finally,",",7.782788316035294e-07,14,96
 consists, of,7.852000294406025e-07,36,32
Next,",",7.874572816035652e-07,51,69
8,0,7.969980515554198e-07,31,202
 ,0,8.092937378023635e-07,15,44
0,.,8.21812022877566e-07,30,58
 this, case,8.301268508148496e-07,3,85
 a,ces,8.839926977088908e-07,47,193
 such, that,8.841838621265197e-07,28,196
 terms, of,8.9974753336719e-07,85,128
 length, of,9.056861927092541e-07,68,17
Next,",",9.102784588321811e-07,14,59
 greater, than,9.189535035147856e-07,40,206
 resulting, in,9.232812772097532e-07,49,117
4,.,1.004946170723997e-06,9,80
 ,0,1.0355405493100989e-06,91,165
5,0,1.0541564279265003e-06,83,32
 looks, like,1.0552572575761587e-06,64,74
mod,{,1.0623496109474218e-06,46,148
 ,5,1.071897031579283e-06,56,17
8,0,1.0911626304732636e-06,13,79
Next,",",1.091977537726052e-06,54,123
 dealing, with,1.1274265716565424e-06,24,90
0,0,1.1286716699032695e-06,60,108
7,0,1.1381470130800153e-06,63,194
 terms, of,1.1424052672737162e-06,85,156
"
",\,1.1575814369280124e-06,80,157
 ,2,1.1593873523452203e-06,19,236
0,0,1.1779787882915116e-06,60,198
 number, of,1.1865786291309632e-06,100,165
 ,0,1.2185918194518308e-06,91,34
0,0,1.2392516737236292e-06,60,89
4,.,1.2824338000427815e-06,72,207
., **,1.2983344959138776e-06,45,162
0,0,1.350561433355324e-06,83,23
 case,",",1.3552106565839495e-06,39,122
")
",\,1.364129047942697e-06,70,133
 number, of,1.411524181094137e-06,13,87
1,.,1.438550839338859e-06,51,163
0,0,1.475045905863226e-06,60,221
 of, the,1.513784923190542e-06,70,16
5, hours,1.546777639305219e-06,83,38
ilater,als,1.555181370349601e-06,13,129
"
",\,1.5774518260514014e-06,63,222
"
",\,1.5880925730016315e-06,43,142
0,0,1.603218834134168e-06,60,78
