current_token,next_token,entropy,prompt_id,token_position
Finally,",",2.9369353171659895e-08,49,128
Finally,",",3.616108656956385e-08,83,91
Finally,",",6.052228229691536e-08,58,72
Finally,",",9.212198648356207e-08,60,67
ilater,als,1.0627737623281064e-07,13,102
Next,",",1.119768242574537e-07,95,36
0,0,1.243039946530189e-07,95,83
Finally,",",1.4989014118782507e-07,19,134
 that,",",1.5137746345317282e-07,83,70
Next,",",1.5637195360795886e-07,36,27
 equal, to,1.5783267315327976e-07,95,77
 Therefore,",",1.622324532490893e-07,36,94
 diagon,als,1.672514997608232e-07,13,15
Therefore,",",1.8451780192663136e-07,71,120
Finally,",",1.8617193120462616e-07,76,76
Next,",",2.267263568000999e-07,19,19
 of, the,2.2803600074894348e-07,56,17
Next,",",2.3111444136247883e-07,83,22
Next,",",2.7582328243624943e-07,18,16
Next,",",2.802752305797185e-07,49,78
9,0,2.809363479627791e-07,68,74
 count,erc,2.869945774364169e-07,57,85
Next,",",3.2347332989957067e-07,21,31
Next,",",3.2794670801195025e-07,3,49
Next,",",3.322724637655483e-07,16,46
Next,",",3.3275580335612176e-07,71,67
Next,",",3.61861651754225e-07,43,74
 needs, to,4.070585362114798e-07,58,81
Next,",",4.16517593748722e-07,63,54
Next,",",4.3806426219816785e-07,30,104
Next,",",4.4347331140670576e-07,60,33
Next,",",4.5009889504399325e-07,58,32
ly,",",4.85947339257109e-07,37,92
Finally,",",5.376018066272081e-07,87,200
 need, to,6.200584152793454e-07,75,13
0,0,6.424627940759819e-07,60,162
 ,0,6.667220873168844e-07,91,26
Therefore,",",6.935700298527081e-07,72,133
Next,",",7.088129905241658e-07,76,24
 me, to,7.151566592256131e-07,68,35
 consists, of,7.177500265242998e-07,36,31
 such, that,7.23775997357734e-07,28,137
 Additionally,",",7.47398019029788e-07,1,87
Step, ,7.704989570811449e-07,58,242
Finally,",",7.809476301190443e-07,51,192
0,0,8.015300636543543e-07,51,51
"}
",\,8.015348385015386e-07,76,223
 number, of,8.750252504796663e-07,69,40
 results, in,9.754375014381367e-07,63,110
 Step, ,1.026356017064245e-06,60,240
 into, the,1.0682716720111785e-06,3,17
 of, the,1.0850715170818148e-06,18,93
 associated, with,1.1543997970875353e-06,43,12
 ,0,1.2364214398985496e-06,15,44
 Step, ,1.2445844959074748e-06,80,239
 ,2,1.2531717175079393e-06,80,240
 resulting, in,1.2923428585054353e-06,51,60
6,0,1.3211545137892244e-06,8,123
Next,",",1.3430809531200794e-06,87,63
_,0,1.347246552541037e-06,63,255
 \,),1.3487043588611414e-06,3,15
5,0,1.3713187172470498e-06,89,32
Step, ,1.391977434650471e-06,71,225
 a,ces,1.3935109564044978e-06,47,224
0,0,1.4327532653624075e-06,63,158
However,",",1.4700387964694528e-06,53,95
 need, to,1.488365228397015e-06,53,7
 remain,ders,1.5119771887839306e-06,35,76
 one, side,1.5568198250548448e-06,56,15
0,0,1.608361571925343e-06,60,149
 A, and,1.6911591274038074e-06,69,43
0,0,1.712029643385904e-06,60,177
0,0,1.7489818446847494e-06,51,173
0,0,1.7738027509039966e-06,8,124
 number, of,1.780990146471595e-06,36,52
 diagon,als,1.7958406033358187e-06,1,31
1,9,1.8331536466575926e-06,63,25
 diagon,als,1.8424759673507651e-06,13,161
9,0,1.8687101146497298e-06,1,22
0,0,1.8872792679758277e-06,51,230
  , -,1.888495262392098e-06,18,158
 diagon,als,1.9075644104304956e-06,1,162
0,0,1.9219341993448325e-06,51,189
4,",",1.956302867256454e-06,29,37
 diagon,als,2.048357828243752e-06,1,90
 and, B,2.134393525921041e-06,69,44
"
",\,2.1766372810816392e-06,63,231
However,",",2.191584599131602e-06,21,124
 equal, to,2.2882425128045725e-06,25,61
0,0,2.321206011401955e-06,95,189
 ,1,2.3528966721642064e-06,56,105
")
",-,2.365114369240473e-06,10,73
 ,0,2.4227213089034194e-06,97,31
Therefore,",",2.445597374389763e-06,43,123
 how, many,2.4713003767828923e-06,36,40
 surface, area,2.477345333318226e-06,8,20
 dealing, with,2.5263479983550496e-06,86,49
Step, ,2.562643203418702e-06,58,177
 raised, to,2.5914991965692025e-06,32,24
0,0,2.6140928639506456e-06,95,243
