current_token,next_token,entropy,prompt_id,token_position
 or, counting,4.424190998077393,22,68
",", contact,3.8418326377868652,88,117
 or, extra,3.6675848960876465,75,213
 all, different,3.6349661350250244,9,133
 involving, combinations,3.613626718521118,22,66
 or, constraints,3.508026599884033,66,244
 be, tricky,3.497805595397949,26,219
",", how,3.4149208068847656,2,67
 But, I,3.344926118850708,1,237
 so, when,3.318016767501831,2,243
 or, integration,3.3176774978637695,86,75
 like, population,3.3030879497528076,88,114
..., actually,3.254432439804077,86,129
 the, Born,3.2408370971679688,48,253
 perhaps, logarith,3.233043670654297,66,167
 shift, uniquely,3.2300565242767334,53,236
 can, use,3.225943088531494,66,161
 can, relate,3.190220594406128,66,150
 is, oriented,3.1818792819976807,7,249
 because, there,3.177147388458252,26,221
 but, isn,3.1744894981384277,53,163
",", how,3.1668388843536377,1,200
",", perhaps,3.164731502532959,44,199
 is, formed,3.14486026763916,7,223
 (,since,3.138960599899292,99,192
 about, romantic,3.134047031402588,93,11
 the, key,3.1307647228240967,7,212
 with, problems,3.121185302734375,22,59
 both, being,3.1192545890808105,93,204
 a, differential,3.1160647869110107,48,197
 (,since,3.112758159637451,42,183
",", I,3.101100206375122,31,69
",", even,3.1008524894714355,26,241
 sometimes, using,3.074131488800049,66,124
 are, only,3.068077802658081,26,223
 will, not,3.0627477169036865,5,136
., That,3.0584216117858887,6,205
's, like,3.058101177215576,29,105
 or, trials,3.0503010749816895,26,62
",", if,3.049478769302368,26,209
 the, given,3.0427231788635254,37,150
 any, trans,3.0340874195098877,75,210
 and, constants,3.013608455657959,6,163
 unit, releases,3.0113730430603027,82,110
 But, then,3.0002005100250244,32,175
 with, numbers,2.9985644817352295,27,68
 be, sym,2.9915237426757812,7,200
 a, coincidence,2.9885170459747314,11,225
., For,2.984787702560425,93,208
., Can,2.9804515838623047,67,244
",", ensuring,2.9643194675445557,53,238
ality, implies,2.9438366889953613,5,128
 or, follow,2.9390008449554443,88,106
",", for,2.930428981781006,93,114
"

",Where,2.9265365600585938,98,136
",", no,2.924877166748047,4,162
 any, external,2.9196603298187256,88,131
",", actually,2.919642448425293,7,209
's, just,2.9157986640930176,78,191
 so, here,2.9073069095611572,47,155
")

",Wait,2.90394926071167,6,116
 I, think,2.902496337890625,20,150
",", maybe,2.8972761631011963,25,243
 can, start,2.8972530364990234,44,202
",", out,2.8968944549560547,23,44
 I, break,2.896021842956543,22,76
 that, right,2.8952198028564453,55,140
 but, sometimes,2.8911588191986084,55,172
"?

",Let,2.8905797004699707,83,250
 a, balanced,2.8872759342193604,6,177
 a, basic,2.8747472763061523,86,97
",", the,2.8734352588653564,4,192
 this, means,2.8725712299346924,21,63
 by, looking,2.8712191581726074,32,85
 median, automatically,2.8699452877044678,59,223
",", if,2.868262529373169,4,71
 but, since,2.867755174636841,67,101
 the, placement,2.8641326427459717,78,156
 same, perimeter,2.8636863231658936,1,169
",", but,2.8608453273773193,67,100
 to, formal,2.857614278793335,65,137
",", actually,2.852111577987671,5,156
 the, top,2.850911855697632,38,251
 HH,HT,2.8479278087615967,4,246
",", ,2.8439104557037354,32,146
're, scaled,2.834897518157959,1,175
 that, when,2.8266899585723877,1,64
 but, since,2.824660539627075,26,184
",", none,2.8237578868865967,9,250
 especially, ones,2.822854995727539,24,96
 steps, compared,2.821259021759033,50,203
 But, since,2.82084059715271,6,155
",", now,2.8163206577301025,2,172
 assign, each,2.8117198944091797,53,234
 their, own,2.810547351837158,99,231
 to, define,2.8082706928253174,31,79
 component, along,2.8080894947052,5,141
 using, three,2.8075475692749023,82,21
.," 

",2.8065226078033447,93,232
",", maybe,2.8057875633239746,88,94
